Cargo,Comuna,Partido Descripcion,Total Votos
DIP.LEGIS.CABA,COMUNA 13,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 14,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 12,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 4,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 11,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 7,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 15,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 6,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 1,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 5,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 10,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 3,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 9,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 8,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 2,VOTOS RECURRIDOS,0
DIP.LEGIS.CABA,COMUNA 13,VOTOS NULOS,954
DIP.LEGIS.CABA,COMUNA 14,VOTOS NULOS,885
DIP.LEGIS.CABA,COMUNA 12,VOTOS NULOS,1135
DIP.LEGIS.CABA,COMUNA 4,VOTOS NULOS,1112
DIP.LEGIS.CABA,COMUNA 11,VOTOS NULOS,1046
DIP.LEGIS.CABA,COMUNA 7,VOTOS NULOS,1092
DIP.LEGIS.CABA,COMUNA 15,VOTOS NULOS,1017
DIP.LEGIS.CABA,COMUNA 6,VOTOS NULOS,829
DIP.LEGIS.CABA,COMUNA 1,VOTOS NULOS,836
DIP.LEGIS.CABA,COMUNA 5,VOTOS NULOS,857
DIP.LEGIS.CABA,COMUNA 10,VOTOS NULOS,966
DIP.LEGIS.CABA,COMUNA 3,VOTOS NULOS,888
DIP.LEGIS.CABA,COMUNA 9,VOTOS NULOS,914
DIP.LEGIS.CABA,COMUNA 8,VOTOS NULOS,1033
DIP.LEGIS.CABA,COMUNA 2,VOTOS NULOS,525
DIP.LEGIS.CABA,COMUNA 13,VOTOS EN BLANCO,4764
DIP.LEGIS.CABA,COMUNA 14,VOTOS EN BLANCO,4409
DIP.LEGIS.CABA,COMUNA 12,VOTOS EN BLANCO,5062
DIP.LEGIS.CABA,COMUNA 4,VOTOS EN BLANCO,7420
DIP.LEGIS.CABA,COMUNA 11,VOTOS EN BLANCO,4944
DIP.LEGIS.CABA,COMUNA 7,VOTOS EN BLANCO,5755
DIP.LEGIS.CABA,COMUNA 15,VOTOS EN BLANCO,5150
DIP.LEGIS.CABA,COMUNA 6,VOTOS EN BLANCO,4225
DIP.LEGIS.CABA,COMUNA 1,VOTOS EN BLANCO,5377
DIP.LEGIS.CABA,COMUNA 5,VOTOS EN BLANCO,4699
DIP.LEGIS.CABA,COMUNA 10,VOTOS EN BLANCO,4704
DIP.LEGIS.CABA,COMUNA 3,VOTOS EN BLANCO,5190
DIP.LEGIS.CABA,COMUNA 9,VOTOS EN BLANCO,4959
DIP.LEGIS.CABA,COMUNA 8,VOTOS EN BLANCO,6180
DIP.LEGIS.CABA,COMUNA 2,VOTOS EN BLANCO,2953
DIP.LEGIS.CABA,COMUNA 13,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 14,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 12,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 4,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 11,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 7,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 15,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 6,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 1,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 5,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 10,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 3,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 9,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 8,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 2,VOTOS DE IDENTIDAD IMPUGNADA,0
DIP.LEGIS.CABA,COMUNA 13,UNITE POR LA LIBERTAD Y LA DIG,2736
DIP.LEGIS.CABA,COMUNA 14,UNITE POR LA LIBERTAD Y LA DIG,2427
DIP.LEGIS.CABA,COMUNA 12,UNITE POR LA LIBERTAD Y LA DIG,2711
DIP.LEGIS.CABA,COMUNA 4,UNITE POR LA LIBERTAD Y LA DIG,2344
DIP.LEGIS.CABA,COMUNA 11,UNITE POR LA LIBERTAD Y LA DIG,2634
DIP.LEGIS.CABA,COMUNA 7,UNITE POR LA LIBERTAD Y LA DIG,2589
DIP.LEGIS.CABA,COMUNA 15,UNITE POR LA LIBERTAD Y LA DIG,2164
DIP.LEGIS.CABA,COMUNA 6,UNITE POR LA LIBERTAD Y LA DIG,2246
DIP.LEGIS.CABA,COMUNA 1,UNITE POR LA LIBERTAD Y LA DIG,2272
DIP.LEGIS.CABA,COMUNA 5,UNITE POR LA LIBERTAD Y LA DIG,2249
DIP.LEGIS.CABA,COMUNA 10,UNITE POR LA LIBERTAD Y LA DIG,2394
DIP.LEGIS.CABA,COMUNA 3,UNITE POR LA LIBERTAD Y LA DIG,2288
DIP.LEGIS.CABA,COMUNA 9,UNITE POR LA LIBERTAD Y LA DIG,2461
DIP.LEGIS.CABA,COMUNA 8,UNITE POR LA LIBERTAD Y LA DIG,1950
DIP.LEGIS.CABA,COMUNA 2,UNITE POR LA LIBERTAD Y LA DIG,1703
DIP.LEGIS.CABA,COMUNA 13,FRENTE IZQ Y DE TRAB-UNIDAD,7032
DIP.LEGIS.CABA,COMUNA 14,FRENTE IZQ Y DE TRAB-UNIDAD,6513
DIP.LEGIS.CABA,COMUNA 12,FRENTE IZQ Y DE TRAB-UNIDAD,7736
DIP.LEGIS.CABA,COMUNA 4,FRENTE IZQ Y DE TRAB-UNIDAD,6249
DIP.LEGIS.CABA,COMUNA 11,FRENTE IZQ Y DE TRAB-UNIDAD,6522
DIP.LEGIS.CABA,COMUNA 7,FRENTE IZQ Y DE TRAB-UNIDAD,6267
DIP.LEGIS.CABA,COMUNA 15,FRENTE IZQ Y DE TRAB-UNIDAD,7757
DIP.LEGIS.CABA,COMUNA 6,FRENTE IZQ Y DE TRAB-UNIDAD,6720
DIP.LEGIS.CABA,COMUNA 1,FRENTE IZQ Y DE TRAB-UNIDAD,5292
DIP.LEGIS.CABA,COMUNA 5,FRENTE IZQ Y DE TRAB-UNIDAD,7245
DIP.LEGIS.CABA,COMUNA 10,FRENTE IZQ Y DE TRAB-UNIDAD,5876
DIP.LEGIS.CABA,COMUNA 3,FRENTE IZQ Y DE TRAB-UNIDAD,6283
DIP.LEGIS.CABA,COMUNA 9,FRENTE IZQ Y DE TRAB-UNIDAD,5000
DIP.LEGIS.CABA,COMUNA 8,FRENTE IZQ Y DE TRAB-UNIDAD,3935
DIP.LEGIS.CABA,COMUNA 2,FRENTE IZQ Y DE TRAB-UNIDAD,3449
DIP.LEGIS.CABA,COMUNA 13,ALIANZA JUNTOS POR EL CAMBIO,116293
DIP.LEGIS.CABA,COMUNA 14,ALIANZA JUNTOS POR EL CAMBIO,108755
DIP.LEGIS.CABA,COMUNA 12,ALIANZA JUNTOS POR EL CAMBIO,86286
DIP.LEGIS.CABA,COMUNA 4,ALIANZA JUNTOS POR EL CAMBIO,59428
DIP.LEGIS.CABA,COMUNA 11,ALIANZA JUNTOS POR EL CAMBIO,75595
DIP.LEGIS.CABA,COMUNA 7,ALIANZA JUNTOS POR EL CAMBIO,67207
DIP.LEGIS.CABA,COMUNA 15,ALIANZA JUNTOS POR EL CAMBIO,62421
DIP.LEGIS.CABA,COMUNA 6,ALIANZA JUNTOS POR EL CAMBIO,72112
DIP.LEGIS.CABA,COMUNA 1,ALIANZA JUNTOS POR EL CAMBIO,67066
DIP.LEGIS.CABA,COMUNA 5,ALIANZA JUNTOS POR EL CAMBIO,60100
DIP.LEGIS.CABA,COMUNA 10,ALIANZA JUNTOS POR EL CAMBIO,59570
DIP.LEGIS.CABA,COMUNA 3,ALIANZA JUNTOS POR EL CAMBIO,57433
DIP.LEGIS.CABA,COMUNA 9,ALIANZA JUNTOS POR EL CAMBIO,54223
DIP.LEGIS.CABA,COMUNA 8,ALIANZA JUNTOS POR EL CAMBIO,42251
DIP.LEGIS.CABA,COMUNA 2,ALIANZA JUNTOS POR EL CAMBIO,77527
DIP.LEGIS.CABA,COMUNA 13,ALIANZA FRENTE DE TODOS,37744
DIP.LEGIS.CABA,COMUNA 14,ALIANZA FRENTE DE TODOS,37049
DIP.LEGIS.CABA,COMUNA 12,ALIANZA FRENTE DE TODOS,47077
DIP.LEGIS.CABA,COMUNA 4,ALIANZA FRENTE DE TODOS,60235
DIP.LEGIS.CABA,COMUNA 11,ALIANZA FRENTE DE TODOS,44346
DIP.LEGIS.CABA,COMUNA 7,ALIANZA FRENTE DE TODOS,50170
DIP.LEGIS.CABA,COMUNA 15,ALIANZA FRENTE DE TODOS,48215
DIP.LEGIS.CABA,COMUNA 6,ALIANZA FRENTE DE TODOS,39853
DIP.LEGIS.CABA,COMUNA 1,ALIANZA FRENTE DE TODOS,43990
DIP.LEGIS.CABA,COMUNA 5,ALIANZA FRENTE DE TODOS,45377
DIP.LEGIS.CABA,COMUNA 10,ALIANZA FRENTE DE TODOS,42019
DIP.LEGIS.CABA,COMUNA 3,ALIANZA FRENTE DE TODOS,44489
DIP.LEGIS.CABA,COMUNA 9,ALIANZA FRENTE DE TODOS,46818
DIP.LEGIS.CABA,COMUNA 8,ALIANZA FRENTE DE TODOS,53599
DIP.LEGIS.CABA,COMUNA 2,ALIANZA FRENTE DE TODOS,20762
DIP.LEGIS.CABA,COMUNA 13,ALIANZA CONSENSO FEDERAL,7322
DIP.LEGIS.CABA,COMUNA 14,ALIANZA CONSENSO FEDERAL,6248
DIP.LEGIS.CABA,COMUNA 12,ALIANZA CONSENSO FEDERAL,8940
DIP.LEGIS.CABA,COMUNA 4,ALIANZA CONSENSO FEDERAL,7622
DIP.LEGIS.CABA,COMUNA 11,ALIANZA CONSENSO FEDERAL,8574
DIP.LEGIS.CABA,COMUNA 7,ALIANZA CONSENSO FEDERAL,8080
DIP.LEGIS.CABA,COMUNA 15,ALIANZA CONSENSO FEDERAL,7305
DIP.LEGIS.CABA,COMUNA 6,ALIANZA CONSENSO FEDERAL,7184
DIP.LEGIS.CABA,COMUNA 1,ALIANZA CONSENSO FEDERAL,5578
DIP.LEGIS.CABA,COMUNA 5,ALIANZA CONSENSO FEDERAL,7271
DIP.LEGIS.CABA,COMUNA 10,ALIANZA CONSENSO FEDERAL,8223
DIP.LEGIS.CABA,COMUNA 3,ALIANZA CONSENSO FEDERAL,6605
DIP.LEGIS.CABA,COMUNA 9,ALIANZA CONSENSO FEDERAL,8029
DIP.LEGIS.CABA,COMUNA 8,ALIANZA CONSENSO FEDERAL,6157
DIP.LEGIS.CABA,COMUNA 2,ALIANZA CONSENSO FEDERAL,3922