Seccion	Agrupacion	Votos
Comuna 15	SOCIALISTA AUTÉNTICO	1612
Comuna 14	SOCIALISTA AUTÉNTICO	1662
Comuna 13	SOCIALISTA AUTÉNTICO	2133
Comuna 12	SOCIALISTA AUTÉNTICO	2154
Comuna 11	SOCIALISTA AUTÉNTICO	1894
Comuna 10	SOCIALISTA AUTÉNTICO	1665
Comuna 9	SOCIALISTA AUTÉNTICO	1527
Comuna 8	SOCIALISTA AUTÉNTICO	1352
Comuna 7	SOCIALISTA AUTÉNTICO	1602
Comuna 6	SOCIALISTA AUTÉNTICO	1536
Comuna 5	SOCIALISTA AUTÉNTICO	1780
Comuna 4	SOCIALISTA AUTÉNTICO	1735
Comuna 3	SOCIALISTA AUTÉNTICO	1543
Comuna 2	SOCIALISTA AUTÉNTICO	890
Comuna 1	SOCIALISTA AUTÉNTICO	1556
Comuna 15	RENOVADOR FEDERAL	142
Comuna 14	RENOVADOR FEDERAL	77
Comuna 13	RENOVADOR FEDERAL	106
Comuna 12	RENOVADOR FEDERAL	147
Comuna 11	RENOVADOR FEDERAL	136
Comuna 10	RENOVADOR FEDERAL	148
Comuna 9	RENOVADOR FEDERAL	182
Comuna 8	RENOVADOR FEDERAL	222
Comuna 7	RENOVADOR FEDERAL	160
Comuna 6	RENOVADOR FEDERAL	89
Comuna 5	RENOVADOR FEDERAL	150
Comuna 4	RENOVADOR FEDERAL	244
Comuna 3	RENOVADOR FEDERAL	153
Comuna 2	RENOVADOR FEDERAL	59
Comuna 1	RENOVADOR FEDERAL	143
Comuna 15	POLÍTICA OBRERA	1213
Comuna 14	POLÍTICA OBRERA	719
Comuna 13	POLÍTICA OBRERA	830
Comuna 12	POLÍTICA OBRERA	1097
Comuna 11	POLÍTICA OBRERA	1030
Comuna 10	POLÍTICA OBRERA	907
Comuna 9	POLÍTICA OBRERA	1121
Comuna 8	POLÍTICA OBRERA	1411
Comuna 7	POLÍTICA OBRERA	1496
Comuna 6	POLÍTICA OBRERA	785
Comuna 5	POLÍTICA OBRERA	1221
Comuna 4	POLÍTICA OBRERA	1764
Comuna 3	POLÍTICA OBRERA	1272
Comuna 2	POLÍTICA OBRERA	434
Comuna 1	POLÍTICA OBRERA	1232
Comuna 15	MOVIMIENTO LIBRES DEL SUR	1020
Comuna 14	MOVIMIENTO LIBRES DEL SUR	963
Comuna 13	MOVIMIENTO LIBRES DEL SUR	951
Comuna 12	MOVIMIENTO LIBRES DEL SUR	1154
Comuna 11	MOVIMIENTO LIBRES DEL SUR	1019
Comuna 10	MOVIMIENTO LIBRES DEL SUR	975
Comuna 9	MOVIMIENTO LIBRES DEL SUR	885
Comuna 8	MOVIMIENTO LIBRES DEL SUR	1394
Comuna 7	MOVIMIENTO LIBRES DEL SUR	1133
Comuna 6	MOVIMIENTO LIBRES DEL SUR	849
Comuna 5	MOVIMIENTO LIBRES DEL SUR	963
Comuna 4	MOVIMIENTO LIBRES DEL SUR	1233
Comuna 3	MOVIMIENTO LIBRES DEL SUR	899
Comuna 2	MOVIMIENTO LIBRES DEL SUR	588
Comuna 1	MOVIMIENTO LIBRES DEL SUR	1039
Comuna 15	MOVIMIENTO AL SOCIALISMO	671
Comuna 14	MOVIMIENTO AL SOCIALISMO	487
Comuna 13	MOVIMIENTO AL SOCIALISMO	581
Comuna 12	MOVIMIENTO AL SOCIALISMO	706
Comuna 11	MOVIMIENTO AL SOCIALISMO	632
Comuna 10	MOVIMIENTO AL SOCIALISMO	608
Comuna 9	MOVIMIENTO AL SOCIALISMO	679
Comuna 8	MOVIMIENTO AL SOCIALISMO	710
Comuna 7	MOVIMIENTO AL SOCIALISMO	788
Comuna 6	MOVIMIENTO AL SOCIALISMO	531
Comuna 5	MOVIMIENTO AL SOCIALISMO	618
Comuna 4	MOVIMIENTO AL SOCIALISMO	921
Comuna 3	MOVIMIENTO AL SOCIALISMO	671
Comuna 2	MOVIMIENTO AL SOCIALISMO	315
Comuna 1	MOVIMIENTO AL SOCIALISMO	692
Comuna 15	LA LIBERTAD AVANZA	28506
Comuna 14	LA LIBERTAD AVANZA	36423
Comuna 13	LA LIBERTAD AVANZA	39285
Comuna 12	LA LIBERTAD AVANZA	37079
Comuna 11	LA LIBERTAD AVANZA	35693
Comuna 10	LA LIBERTAD AVANZA	32291
Comuna 9	LA LIBERTAD AVANZA	31337
Comuna 8	LA LIBERTAD AVANZA	28653
Comuna 7	LA LIBERTAD AVANZA	35570
Comuna 6	LA LIBERTAD AVANZA	28345
Comuna 5	LA LIBERTAD AVANZA	27447
Comuna 4	LA LIBERTAD AVANZA	33147
Comuna 3	LA LIBERTAD AVANZA	29894
Comuna 2	LA LIBERTAD AVANZA	25009
Comuna 1	LA LIBERTAD AVANZA	31535
Comuna 15	JUNTOS POR EL CAMBIO	101436
Comuna 14	JUNTOS POR EL CAMBIO	169201
Comuna 13	JUNTOS POR EL CAMBIO	184100
Comuna 12	JUNTOS POR EL CAMBIO	137551
Comuna 11	JUNTOS POR EL CAMBIO	121333
Comuna 10	JUNTOS POR EL CAMBIO	97592
Comuna 9	JUNTOS POR EL CAMBIO	88591
Comuna 8	JUNTOS POR EL CAMBIO	68919
Comuna 7	JUNTOS POR EL CAMBIO	108699
Comuna 6	JUNTOS POR EL CAMBIO	116206
Comuna 5	JUNTOS POR EL CAMBIO	97098
Comuna 4	JUNTOS POR EL CAMBIO	95852
Comuna 3	JUNTOS POR EL CAMBIO	91780
Comuna 2	JUNTOS POR EL CAMBIO	120423
Comuna 1	JUNTOS POR EL CAMBIO	106775
Comuna 15	FRENTE DE TODOS	64131
Comuna 14	FRENTE DE TODOS	47984
Comuna 13	FRENTE DE TODOS	48892
Comuna 12	FRENTE DE TODOS	62152
Comuna 11	FRENTE DE TODOS	59081
Comuna 10	FRENTE DE TODOS	56210
Comuna 9	FRENTE DE TODOS	62699
Comuna 8	FRENTE DE TODOS	72620
Comuna 7	FRENTE DE TODOS	68140
Comuna 6	FRENTE DE TODOS	53743
Comuna 5	FRENTE DE TODOS	60888
Comuna 4	FRENTE DE TODOS	80229
Comuna 3	FRENTE DE TODOS	57680
Comuna 2	FRENTE DE TODOS	26159
Comuna 1	FRENTE DE TODOS	58450
Comuna 15	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	18647
Comuna 14	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	14339
Comuna 13	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	16318
Comuna 12	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	17306
Comuna 11	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	15127
Comuna 10	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	14140
Comuna 9	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	12804
Comuna 8	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	12711
Comuna 7	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	16678
Comuna 6	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	15574
Comuna 5	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	17001
Comuna 4	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	16879
Comuna 3	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	14656
Comuna 2	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	7612
Comuna 1	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	13513
Comuna 15	FEDERAL	1062
Comuna 14	FEDERAL	1077
Comuna 13	FEDERAL	1149
Comuna 12	FEDERAL	1409
Comuna 11	FEDERAL	1350
Comuna 10	FEDERAL	1210
Comuna 9	FEDERAL	1432
Comuna 8	FEDERAL	1141
Comuna 7	FEDERAL	1332
Comuna 6	FEDERAL	1046
Comuna 5	FEDERAL	1062
Comuna 4	FEDERAL	1431
Comuna 3	FEDERAL	1069
Comuna 2	FEDERAL	707
Comuna 1	FEDERAL	1127
Comuna 15	DIGNIDAD POPULAR	199
Comuna 14	DIGNIDAD POPULAR	169
Comuna 13	DIGNIDAD POPULAR	190
Comuna 12	DIGNIDAD POPULAR	220
Comuna 11	DIGNIDAD POPULAR	255
Comuna 10	DIGNIDAD POPULAR	266
Comuna 9	DIGNIDAD POPULAR	287
Comuna 8	DIGNIDAD POPULAR	362
Comuna 7	DIGNIDAD POPULAR	289
Comuna 6	DIGNIDAD POPULAR	190
Comuna 5	DIGNIDAD POPULAR	235
Comuna 4	DIGNIDAD POPULAR	367
Comuna 3	DIGNIDAD POPULAR	270
Comuna 2	DIGNIDAD POPULAR	103
Comuna 1	DIGNIDAD POPULAR	250
Comuna 15	AUTONOMISTA	453
Comuna 14	AUTONOMISTA	467
Comuna 13	AUTONOMISTA	448
Comuna 12	AUTONOMISTA	593
Comuna 11	AUTONOMISTA	489
Comuna 10	AUTONOMISTA	516
Comuna 9	AUTONOMISTA	445
Comuna 8	AUTONOMISTA	493
Comuna 7	AUTONOMISTA	542
Comuna 6	AUTONOMISTA	461
Comuna 5	AUTONOMISTA	502
Comuna 4	AUTONOMISTA	601
Comuna 3	AUTONOMISTA	539
Comuna 2	AUTONOMISTA	266
Comuna 1	AUTONOMISTA	418
Comuna 15	AUTODETERMINACIÓN Y LIBERTAD	8813
Comuna 14	AUTODETERMINACIÓN Y LIBERTAD	5359
Comuna 13	AUTODETERMINACIÓN Y LIBERTAD	6518
Comuna 12	AUTODETERMINACIÓN Y LIBERTAD	7755
Comuna 11	AUTODETERMINACIÓN Y LIBERTAD	8299
Comuna 10	AUTODETERMINACIÓN Y LIBERTAD	6898
Comuna 9	AUTODETERMINACIÓN Y LIBERTAD	5359
Comuna 8	AUTODETERMINACIÓN Y LIBERTAD	3845
Comuna 7	AUTODETERMINACIÓN Y LIBERTAD	6853
Comuna 6	AUTODETERMINACIÓN Y LIBERTAD	7618
Comuna 5	AUTODETERMINACIÓN Y LIBERTAD	6905
Comuna 4	AUTODETERMINACIÓN Y LIBERTAD	5526
Comuna 3	AUTODETERMINACIÓN Y LIBERTAD	5366
Comuna 2	AUTODETERMINACIÓN Y LIBERTAD	2950
Comuna 1	AUTODETERMINACIÓN Y LIBERTAD	4899
Comuna 15	APTITUD RENOVADORA	437
Comuna 14	APTITUD RENOVADORA	329
Comuna 13	APTITUD RENOVADORA	352
Comuna 12	APTITUD RENOVADORA	563
Comuna 11	APTITUD RENOVADORA	537
Comuna 10	APTITUD RENOVADORA	549
Comuna 9	APTITUD RENOVADORA	561
Comuna 8	APTITUD RENOVADORA	649
Comuna 7	APTITUD RENOVADORA	531
Comuna 6	APTITUD RENOVADORA	484
Comuna 5	APTITUD RENOVADORA	498
Comuna 4	APTITUD RENOVADORA	739
Comuna 3	APTITUD RENOVADORA	545
Comuna 2	APTITUD RENOVADORA	192
Comuna 1	APTITUD RENOVADORA	496
Comuna 15		9312
Comuna 14		8125
Comuna 13		9345
Comuna 12		10241
Comuna 11		9822
Comuna 10		8656
Comuna 9		8485
Comuna 8		9570
Comuna 7		9876
Comuna 6		7824
Comuna 5		8263
Comuna 4		11171
Comuna 3		8754
Comuna 2		4771
Comuna 1		8239
